,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Wind speed,Cloudliness
0,Aklavik,CA,1514084400,68.22,-135.01,14.0,66,9.17,40
1,Umm Lajj,SA,1514087673,25.02,37.27,62.41,100,5.86,0
2,Tongren,CN,1514087674,27.72,109.18,52.69,53,3.91,0
3,Pisco,PE,1514084400,-13.71,-76.2,66.2,88,13.87,0
4,High Level,CA,1514084400,58.52,-117.13,10.4,85,10.29,40
5,Khovu-Aksy,RU,1514087676,51.13,93.72,-4.2,67,3.58,32
6,Kangaatsiaq,GL,1514087676,68.31,-53.46,22.09,100,16.37,76
7,Puruliya,IN,1514084400,23.33,86.37,59.0,100,4.52,0
8,Salmas,IR,1514084400,38.2,44.77,51.8,37,13.87,75
9,Conceicao do Araguaia,BR,1514087679,-8.26,-49.26,71.23,94,2.62,36
10,Saubara,BR,1514084400,-12.74,-38.77,78.8,74,9.17,40
11,Henties Bay,NA,1514087664,-22.12,14.28,59.62,100,4.29,32
12,Yellowknife,CA,1514084400,62.45,-114.38,-20.21,75,6.93,5
13,Tiznit,MA,1514087682,29.7,-9.73,47.11,95,3.29,0
14,Sabang,ID,1514087682,1.17,120.82,84.82,95,10.18,20
15,Srednekolymsk,RU,1514087091,67.46,153.71,-11.76,75,8.1,64
16,Atar,MR,1514087454,20.52,-13.05,46.34,39,8.05,68
17,Husavik,IS,1514084400,66.04,-17.34,28.4,92,6.93,90
18,Tateyama,JP,1514084400,36.66,137.31,57.2,70,11.41,75
19,Muisne,EC,1514087683,0.61,-80.02,72.85,91,4.81,76
20,Marica,BR,1514085840,-22.92,-42.82,77.0,83,3.36,90
21,Balkanabat,TM,1514087685,39.51,54.36,42.56,83,4.85,68
22,San Luis,AR,1514087686,-33.3,-66.34,67.72,26,13.31,24
23,Frantiskovy Lazne,CZ,1514084400,50.12,12.35,41.0,93,13.87,90
24,Ahipara,NZ,1514087272,-35.17,173.16,64.93,100,11.9,100
25,Muli,MV,1514087687,2.92,73.57,80.14,100,13.31,68
26,Bambous Virieux,MU,1514084400,-20.34,57.76,75.2,94,4.7,75
27,Magadi,KE,1514087688,-1.9,36.29,55.16,87,2.24,12
28,Moranbah,AU,1514087689,-22.0,148.04,94.72,34,8.84,8
29,Hobart,AU,1514085540,-42.88,147.33,64.4,27,17.22,75
30,Esperance,AU,1514087452,-33.86,121.89,75.19,68,8.84,0
31,Inyonga,TZ,1514087689,-6.72,32.06,62.54,98,4.14,92
32,Sistranda,NO,1514083800,63.73,8.83,35.6,93,9.17,75
33,Kungurtug,RU,1514087495,50.6,97.53,0.22,60,2.35,64
34,Bartica,GY,1514084400,6.41,-58.62,73.4,94,4.7,0
35,Dikson,RU,1514087692,73.51,80.55,3.23,100,26.44,80
36,Talcahuano,CL,1514084400,-36.72,-73.12,53.6,71,11.41,0
37,Yar-Sale,RU,1514087693,66.83,70.83,18.44,93,18.68,88
38,Baranchinskiy,RU,1514087694,58.16,59.7,18.04,74,7.38,56
39,Santa catarina de Tepehuanes,MX,1514087695,25.34,-105.72,49.04,82,1.5,36
40,Kutum,SD,1514087696,14.2,24.66,56.33,45,9.78,0
41,Denpasar,ID,1514084400,-8.65,115.22,80.6,88,11.41,75
42,Portland,AU,1514087491,-33.35,149.98,84.64,36,6.82,32
43,Yasnyy,RU,1514087697,64.04,44.09,22.49,85,4.85,88
44,Kamenka,RU,1514087219,53.19,44.05,20.92,90,9.95,76
45,Mareeba,AU,1514084400,-16.99,145.42,89.6,46,14.99,20
46,Emerald,AU,1514087698,-23.53,148.16,93.64,43,6.08,12
47,Baringo,KE,1514087699,0.47,35.97,51.11,85,2.73,8
48,Shaunavon,CA,1514087700,49.65,-108.41,8.95,71,11.12,32
49,La Ronge,CA,1514085180,55.1,-105.3,-16.61,68,5.82,5
50,Banepa,NP,1514085600,27.63,85.52,55.4,76,2.24,75
51,Ferme-Neuve,CA,1514087701,46.7,-75.45,7.15,75,4.41,48
52,Zhigansk,RU,1514087369,66.77,123.37,-40.47,0,4.29,20
53,Uthal,PK,1514087702,25.81,66.62,53.41,49,7.31,0
54,Narasannapeta,IN,1514087703,18.42,84.04,70.01,81,4.07,0
55,Samarai,PG,1514087703,-10.62,150.67,83.92,97,10.78,64
56,Nizhneangarsk,RU,1514087704,55.78,109.57,-3.21,68,1.79,36
57,Nizwa,OM,1514087704,22.93,57.53,44.09,67,2.51,0
58,Cajati,BR,1514087705,-24.73,-48.11,77.03,75,7.65,68
59,Jumla,NP,1514087705,29.28,82.18,13.63,43,1.61,0
60,Upata,VE,1514087707,8.02,-62.41,72.98,80,6.6,76
61,Kisangani,CD,1514087707,0.52,25.21,72.49,98,4.36,0
62,Alakurtti,RU,1514087708,66.96,30.34,15.83,84,3.51,88
63,Sorland,NO,1514087629,67.67,12.69,39.1,100,21.85,88
64,Lavrentiya,RU,1514087707,65.58,-170.99,32.26,92,27.51,92
65,Dunmore East,IE,1514087711,52.15,-6.99,49.76,97,18.34,88
